DataFrame[212×20 DataFrame
 Row │ geometry    ref:FR:PTT  ref:FR:PTT:NRA  colour   mapillary        operator          substation          utility  survey:date  ref:FR:Orange:NRO  man_made        ref        ref:FR:ARCEP   ref:FR:Orange  @id              telecom:medium  power       owner    telecom           street_cabinet
  35 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TR  PT004454       node/6205538997  fibre           missing     Orange   connection_point  telecom
  36 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-018I  PT002617       node/6479033689  fibre           missing     Orange   connection_point  telecom
  37 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-019J  PT002564       node/6479033690  fibre           missing     Orange   connection_point  telecom
  38 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-018S  PT002624       node/6479033691  fibre           missing     Orange   connection_point  telecom
  39 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-0198  PT002592       node/6479033692  fibre           missing     Orange   connection_point  telecom
  40 │ 2D Point    B10         CRB             missing          missing  Orange            missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/6615016556  copper          missing     Orange   connection_point  telecom
  41 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/7041017869  missing         missing     missing  missing           missing
  42 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/7041017874  missing         missing     missing  missing           missing
  43 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/7055130784  missing         missing     missing  missing           missing
  44 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  EP NA 008  missing        missing        node/7055130889  missing         missing     missing  missing           street_lighting
  45 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/7057309051  missing         missing     missing  missing           missing
  46 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GQ  PT006636       node/7082179301  fibre           missing     Orange   connection_point  telecom
  47 │ 2D Point    missing     missing         missing          missing  Orange            missing             telecom  missing      missing            street_cabinet  missing    missing        missing        node/7082179302  copper          missing     Orange   connection_point  telecom
  48 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/7082179304  missing         missing     missing  missing           missing
  49 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FY  PT006614       node/7142767384  fibre           missing     Orange   connection_point  telecom
  50 │ 2D Point    missing     missing         missing          missing  Orange            missing             telecom  missing      44109GLO           street_cabinet  missing    FI-44109-01GD  PT006616       node/7142774585  fibre           missing     Orange   connection_point  telecom
  51 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01G5  PT006620       node/7142774586  fibre           missing     Orange   connection_point  telecom
  52 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01G9  PT006209       node/7142774587  fibre           missing     Orange   connection_point  telecom
  53 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GG  PT006624       node/7142774588  fibre           missing     Orange   connection_point  telecom
