DataFrame[212×20 DataFrame
 Row │ geometry    ref:FR:PTT  ref:FR:PTT:NRA  colour   mapillary        operator          substation          utility  survey:date  ref:FR:Orange:NRO  man_made        ref        ref:FR:ARCEP   ref:FR:Orange  @id              telecom:medium  power       owner    telecom           street_cabinet
 147 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FR  PT006642       node/7204588857  fibre           missing     Orange   connection_point  telecom
 148 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01H1  PT006634       node/7204588858  fibre           missing     Orange   connection_point  telecom
 149 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GO  PT006630       node/7204588859  fibre           missing     Orange   connection_point  telecom
 150 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GL  PT006627       node/7204588860  fibre           missing     Orange   connection_point  telecom
 151 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GH  PT006626       node/7204588861  fibre           missing     Orange   connection_point  telecom
 152 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FV  PT006553       node/7204588862  fibre           missing     Orange   connection_point  telecom
 153 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01G0  missing        node/7204588863  fibre           missing     Orange   connection_point  telecom
 154 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TU  missing        node/7217085298  fibre           missing     Orange   connection_point  telecom
 155 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TT  PT004433       node/7217085299  fibre           missing     Orange   connection_point  telecom
 156 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TZ  PT004431       node/7217085300  fibre           missing     Orange   connection_point  telecom
 157 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00U8  PT004465       node/7217085301  fibre           missing     Orange   connection_point  telecom
 158 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UI  PT004459       node/7217085302  fibre           missing     Orange   connection_point  telecom
 159 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00U7  PT004243       node/7217085303  fibre           missing     Orange   connection_point  telecom
 160 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00U9  PT004464       node/7217085304  fibre           missing     Orange   connection_point  telecom
 161 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00U4  PT004467       node/7217085305  fibre           missing     Orange   connection_point  telecom
 162 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00U6  PT004466       node/7217085306  fibre           missing     Orange   connection_point  telecom
 163 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00U3  PT004470       node/7217085307  fibre           missing     Orange   connection_point  telecom
 164 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UO  PT004451       node/7217085308  fibre           missing     Orange   connection_point  telecom
 165 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01G7  PT006619       node/7217085309  fibre           missing     Orange   connection_point  telecom
 166 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UU  PT004446       node/7217085310  fibre           missing     Orange   connection_point  telecom
 167 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UD  PT004444       node/7217085311  fibre           missing     Orange   connection_point  telecom
 168 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UA  PT004443       node/7217085312  fibre           missing     Orange   connection_point  telecom
 169 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UF  PT004441       node/7217085313  fibre           missing     Orange   connection_point  telecom
 170 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UN  missing        node/7217085314  fibre           missing     Orange   connection_point  telecom
 171 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UM  PT004438       node/7217085315  fibre           missing     Orange   connection_point  telecom
 172 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UC  missing        node/7217085316  fibre           missing     Orange   connection_point  telecom
 173 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UH  missing        node/7217085317  fibre           missing     Orange   connection_point  telecom
 174 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00SI  PT006215       node/7217085318  fibre           missing     Orange   connection_point  telecom
 175 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01DT  PT006211       node/7217085319  fibre           missing     Orange   connection_point  telecom
 176 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00SG  PT006201       node/7217085320  fibre           missing     Orange   connection_point  telecom
 177 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-019K  PT002589       node/7222852384  fibre           missing     Orange   connection_point  telecom
 178 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-017P  PT002628       node/7222852985  fibre           missing     Orange   connection_point  telecom
 179 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GX  PT006549       node/7223625465  fibre           missing     Orange   connection_point  telecom
 180 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FD  PT006378       node/7223625466  fibre           missing     Orange   connection_point  telecom
 181 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FP  missing        node/7223625467  fibre           missing     Orange   connection_point  telecom
 182 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FO  PT006637       node/7223625468  fibre           missing     Orange   connection_point  telecom
 183 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01G2  PT003312       node/7223625469  fibre           missing     Orange   connection_point  telecom
 184 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01G3  PT006613       node/7223625470  fibre           missing     Orange   connection_point  telecom
 185 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GB  PT006615       node/7227522309  fibre           missing     Orange   connection_point  telecom
 186 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UG  PT004442       node/7227522310  fibre           missing     Orange   connection_point  telecom
 187 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00US  PT004447       node/7227522311  fibre           missing     Orange   connection_point  telecom
 188 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TY  PT004331       node/7227522312  fibre           missing     Orange   connection_point  telecom
 189 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UE  missing        node/7227542057  fibre           missing     Orange   connection_point  telecom
 190 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/7230833589  missing         missing     missing  missing           missing
 191 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/7230833592  missing         missing     missing  missing           missing
 192 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/7230833593  missing         missing     missing  missing           missing
 193 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FT  PT006607       node/7242463085  fibre           missing     Orange   connection_point  telecom
 194 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FU  PT006608       node/7242463086  fibre           missing     Orange   connection_point  telecom
 195 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GK  PT006605       node/7242463087  fibre           missing     Orange   connection_point  telecom
 196 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UB  PT004458       node/7242463088  fibre           missing     Orange   connection_point  telecom
 197 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UK  PT004463       node/7242463089  fibre           missing     Orange   connection_point  telecom
 198 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TX  PT004452       node/7242463090  fibre           missing     Orange   connection_point  telecom
 199 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GI  PT006625       node/7242463091  fibre           missing     Orange   connection_point  telecom
 200 │ 2D Point    missing     missing         missing          missing  Orange            missing             telecom  missing      missing            street_cabinet  missing    missing        missing        node/7657051321  copper          missing     Orange   connection_point  telecom
 201 │ 2D Point    missing     missing         missing          missing  Nantes Métropole  missing             missing  missing      missing            street_cabinet  AQ 861     missing        missing        node/7960796202  missing         missing     missing  missing           missing
 202 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/8529606917  missing         missing     missing  missing           missing
 203 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/8529606919  missing         missing     missing  missing           missing
 204 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/8530043624  missing         missing     missing  missing           missing
 205 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/8530043669  missing         missing     missing  missing           missing
 206 │ 2D Point    missing     missing         brown            missing  La Poste          missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/8545151557  missing         missing     missing  missing           postal_service
 207 │ 2D Point    missing     missing         missing          missing  La Poste          missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/8855359538  missing         missing     missing  missing           postal_service
 208 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/8884040943  missing         missing     missing  missing           missing
 209 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/8884040950  missing         missing     missing  missing           missing
 210 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/9045057597  missing         missing     missing  missing           postal_service
 211 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/9195996195  fibre           missing     Orange   connection_point  missing
 212 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  2022-07-19   missing            street_cabinet  missing    missing        missing        node/9899857818  missing         missing     missing  missing           missing]
